"","GEOID","NAM","AllPov","NHWhite","RentrUntsP","RentrUnts","POC"
"1","41003","Benton",18.6,79.6,43.2,15591,20.4
"2","41049","Morrow",15.1,58.6,27,1106,41.4
"3","41053","Polk",12.1,77.5,34.6,10629,22.5
"4","41059","Umatilla",14.3,65,34.7,9303,35
"5","41065","Wasco",10.9,74,35.7,3692,26
"6","41071","Yamhill",11.8,76.7,29.8,11193,23.3
"7","41001","Baker",14,90,29.6,2117,10
"8","41005","Clackamas",7.5,81,29.1,46315,19
"9","41007","Clatsop",9.6,83.3,39.3,6292,16.7
"10","41009","Columbia",10,87.9,24.3,4836,12.1
"11","41011","Coos",16.1,84.7,31.7,8810,15.3
"12","41013","Crook",10.2,88.1,26.5,2652,11.9
"13","41015","Curry",12.9,85.7,26.6,2871,14.3
"14","41017","Deschutes",9.8,86.7,32.1,24705,13.3
"15","41019","Douglas",13,87.3,29.9,13895,12.7
"16","41021","Gilliam",13.6,86.8,24.9,225,13.2
"17","41023","Grant",16.1,90.9,24.6,850,9.09999999999999
"18","41025","Harney",8.6,86.6,28.1,893,13.4
"19","41027","Hood River",5.1,63.4,31.6,2806,36.6
"20","41029","Jackson",13.7,80,35.7,32047,20
"21","41031","Jefferson",14.3,58.5,31.7,2664,41.5
"22","41033","Josephine",16,85.8,31.2,11411,14.2
"23","41035","Klamath",19.6,76.8,35.8,10165,23.2
"24","41037","Lake",17,84.1,37.8,1337,15.9
"25","41039","Lane",17.2,81.4,40.9,63131,18.6
"26","41041","Lincoln",15.8,81.4,32.8,7153,18.6
"27","41043","Linn",12.3,84.3,33.6,16208,15.7
"28","41045","Malheur",21.1,60.7,40.5,4072,39.3
"29","41047","Marion",13.4,64.4,39.2,47284,35.6
"30","41051","Multnomah",13.2,68.9,45.6,152777,31.1
"31","41055","Sherman",10,88.4,30.9,225,11.6
"32","41057","Tillamook",11.8,84,30,3323,16
"33","41061","Union",13.9,88.4,33.5,3615,11.6
"34","41063","Wallowa",9.7,92,27.6,883,8
"35","41067","Washington",8.5,64.7,38.7,86333,35.3
"36","41069","Wheeler",14.8,85.8,24.5,164,14.2
"37","41","Oregon",12.4,74.9,37.2,611573,25.1
